video_id,video_title,video_published,channel_id,channel_title,view_count,like_count,comment_count
qV3uhC4szD8,El error de publicar más en LinkedIn.,2025-06-22T13:58:20Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,1225,5,0
230x1z2eKVE,¿Por qué LinkedIn ha dejado de mostrar tu contenido? (Y qué puedes hacer al respecto),2025-06-19T10:28:00Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,379,29,12
XBWTIPVkvnU,Empleo FERROVIAL. Trabajo. https://www.ferrovial.com/es-es/empleo/ofertas/,2025-06-16T14:01:56Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,1067,4,2
UA0-btqzjaI,Caída CHATGPT,2025-06-10T18:20:36Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,676,7,1
DbiYYx1FpUc,Trabajo TELEFÓNICA. Empleo https://jobs.telefonica.com/?locale=es_ES,2025-06-08T18:00:11Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,1165,5,0
ul19fbocjK4,Los 10 Mandamientos de LinkedIn (si quieres que te funcione de verdad),2025-06-02T16:02:52Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,786,63,24
a8wZkQRKYk0,Historias Tristes  ¿Por qué las evitamos  La búsqueda de la felicidad,2025-06-02T06:00:01Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,982,6,0
O9-YfCcFogA,LinkedIn  Mejora tu Perfil y Destaca Profesionalmente,2025-06-01T07:00:20Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,1518,16,0
Zr7fW9xCG_U,Deja de Vender Desesperación  Crea Contenido de Valor,2025-05-31T06:00:34Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,422,5,0
6u5R7CZKVPA,FOMO. El miedo a perderse algo... Te puede estar afectando tu día a día.,2025-05-30T14:40:29Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,505,8,0
5bw2OPcIcJQ,"Bienestar, ¿moda o realidad?",2025-05-30T06:30:41Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,50,2,0
j4uloCojD9k,"Mercado Laboral  Véndete con Estrategia, No Desesperación",2025-05-30T06:00:37Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,2117,27,0
fewWdQO0jy8,Evita el error  Venderte como 'cualquier cosa' ¡NO funciona!,2025-05-29T06:00:37Z,UCVEKr1uiurERtPiRR7mME4Q,Héctor Labarta,427,6,1
